t,alpha_t,q_t,Q_C,demand,supply,marginA,driftB_max,driftB_p90,miss,horizon,strategy
33,0.08149999999999999,0.9185,12.12683976613449,21,131,6.238095238095238,2.486173370620252,1.6064622099407493,0.0,1M,pooled_trailing
34,0.08199999999999999,0.918,11.398805186091078,21,131,6.238095238095238,2.644963713664559,1.7090659496552354,0.0,1M,pooled_trailing
35,0.08249999999999999,0.9175,10.670770606047341,21,131,6.238095238095238,2.825421631616371,1.825670378413094,0.0,1M,pooled_trailing
36,0.08299999999999999,0.917,9.942736026003766,22,131,5.954545454545454,0.8863952036151452,0.5479089210145746,0.0,1M,pooled_trailing
37,0.08349999999999999,0.9165,9.707837530530693,22,131,5.954545454545454,0.2144899937881273,0.18805672439506682,0.0,1M,pooled_trailing
38,0.08399999999999999,0.916,9.476868406249539,22,131,5.954545454545454,0.21971751873715417,0.21500372141145088,0.0,1M,pooled_trailing
39,0.08449999999999999,0.9155,9.24589928196828,22,131,5.954545454545454,0.22520621825077988,0.22037466692331276,0.0,1M,pooled_trailing
40,0.08499999999999999,0.915,9.014930157687074,22,131,5.954545454545454,0.2309761667808537,0.2260208275637962,0.0,1M,pooled_trailing
41,0.08549999999999999,0.9145,8.783961033405816,22,131,5.954545454545454,0.23704955016317167,0.23196391319602994,0.0,1M,pooled_trailing
42,0.086,0.914,8.55299190912466,22,131,5.954545454545454,0.23300500677368158,0.20822562547986134,0.0,1M,pooled_trailing
43,0.0865,0.9135,8.322022784843403,22,131,5.954545454545454,0.23947181944159215,0.1832024896451838,0.0,1M,pooled_trailing
44,0.087,0.913,8.099190328246056,23,131,5.695652173913044,0.1304254629909948,0.12092067495002204,0.0,1M,pooled_trailing
45,0.0875,0.9125,7.961792882329232,23,131,5.695652173913044,0.11333860187062998,0.10841672396045383,0.0,1M,pooled_trailing
46,0.088,0.912,7.82439543641247,23,131,5.695652173913044,0.1168288091225047,0.11107051935870892,0.0,1M,pooled_trailing
