date,OECD_CLI_index
1983-03-01,99.83834248766242
1983-04-01,100.455987704109
1983-05-01,101.024250512037
1983-06-01,101.510519568416
1983-07-01,101.89831486891
1983-08-01,102.187881444698
1983-09-01,102.399317020643
1983-10-01,102.540385660292
1983-11-01,102.616558178409
1983-12-01,102.62996939705098
1984-01-01,102.584990344732
1984-02-01,102.471118430267
1984-03-01,102.281300746119
1984-04-01,102.024215476034
1984-05-01,101.728547091344
1984-06-01,101.418373184601
1984-07-01,101.125780282385
1984-08-01,100.869902479887
1984-09-01,100.66780352576
1984-10-01,100.526079316648
1984-11-01,100.430714896969
1984-12-01,100.360045837591
1985-01-01,100.30546211801
1985-02-01,100.254043804268
1985-03-01,100.211836281387
1985-04-01,100.177869086143
1985-05-01,100.14768166116
1985-06-01,100.121685607176
