date,cases_lag7,pos_lag7,cases_lag14,pos_lag14,cases_lag21,pos_lag21,rt_lag7,icu_lag7,hosp_lag7,strin_lag7,vax_lag7,deaths_lag14,deaths_roll28,target
2021-01-13,712.52,0.32,615.2,0.29,642.75,0.27,1.17,88.21,555.23,81.48,1.02,17.36,0.0,13.58
2021-01-13,244.45,0.13,241.29,0.11,269.11,0.1,1.08,43.55,436.08,82.41,0.58,7.62,2.482142857142857,8.17
2021-01-13,575.04,0.07,409.32,0.05,271.9,0.04,1.29,28.89,201.93,82.41,17.63,2.06,0.7975000000000001,3.83
2021-01-13,577.64,0.15,568.91,0.14,634.92,0.12,1.09,84.57,383.7,71.76,2.49,7.67,0.0,8.99
2021-01-13,484.03,0.06,205.48,0.04,287.14,0.03,0.99,34.6,208.7,74.07,0.44,2.36,1.8639285714285714,1.93
2021-01-13,129.91,0.06,153.74,0.07,214.79,0.07,1.0,34.66,178.11,60.19,0.06,7.34,7.735357142857143,4.75
2021-01-13,182.88,0.07,161.54,0.06,171.13,0.05,1.03,17.34,130.73,75.46,0.48,2.9,2.8360714285714286,3.52
2021-01-13,944.17,0.21,639.42,0.2,608.67,0.14,1.17,109.87,705.17,73.15,0.27,10.19,10.343928571428572,15.89
2021-01-14,944.17,0.21,639.42,0.22,608.67,0.14,1.15,109.59,720.32,73.15,0.35,10.19,10.436785714285715,15.89
2021-01-14,295.55,0.16,197.65,0.13,204.28,0.09,1.5,48.74,265.69,71.3,0.44,3.5,0.0575,4.71
2021-01-14,244.45,0.13,241.29,0.12,269.11,0.09,1.06,43.82,438.33,78.7,0.74,7.62,2.4139285714285714,8.17
2021-01-14,378.4,0.16,386.46,0.16,477.54,0.12,0.98,48.05,281.22,60.19,0.34,9.75,0.0,6.95
2021-01-14,182.88,0.08,161.54,0.07,171.13,0.05,1.02,17.4,130.44,75.46,0.57,2.9,2.8757142857142854,3.52
2021-01-14,242.94,0.02,281.86,0.04,573.56,0.03,0.87,35.52,154.42,59.26,0.23,4.16,0.0025,1.31
2021-01-14,197.69,0.06,186.44,0.05,206.51,0.03,1.14,37.94,361.11,63.89,0.08,6.93,1.2750000000000001,7.62
2021-01-14,575.04,0.07,409.32,0.05,271.9,0.04,1.27,29.63,207.96,85.19,18.86,2.06,0.8167857142857142,3.83
2021-01-14,577.64,0.14,568.91,0.15,634.92,0.12,1.09,84.22,380.78,71.76,2.75,7.67,0.0,8.99
2021-01-14,129.91,0.06,153.74,0.07,214.79,0.07,1.0,32.69,173.13,60.19,0.13,7.34,7.606071428571428,4.75
2021-01-14,712.52,0.32,615.2,0.3,642.75,0.27,1.14,88.21,551.46,81.48,1.28,17.36,0.0,13.58
2021-01-15,445.78,0.14,276.33,0.14,359.11,0.1,1.25,52.19,336.0,63.89,0.83,6.75,0.06857142857142857,10.22
2021-01-15,242.94,0.02,281.86,0.03,573.56,0.03,0.87,33.97,140.52,59.26,0.26,4.16,0.0025,1.31
2021-01-15,129.91,0.06,153.74,0.07,214.79,0.07,1.01,32.34,171.24,60.19,0.21,7.34,7.4767857142857155,4.75
2021-01-15,182.88,0.08,161.54,0.07,171.13,0.05,1.0,17.74,129.22,75.46,0.68,2.9,2.9153571428571428,3.52
2021-01-15,577.64,0.14,568.91,0.15,634.92,0.12,1.08,83.85,378.04,71.76,3.01,7.67,0.0,8.99
2021-01-15,295.55,0.16,197.65,0.13,204.28,0.09,1.5,49.08,266.91,71.3,0.58,3.5,0.0575,4.71
2021-01-15,378.4,0.15,386.46,0.16,477.54,0.12,0.96,46.68,272.64,60.19,0.43,9.75,0.0,6.95
2021-01-15,446.46,0.13,532.9,0.14,623.05,0.13,0.86,36.32,93.49,78.7,0.2,5.0,0.0,5.12
2021-01-15,244.45,0.13,241.29,0.12,269.11,0.1,1.06,43.82,438.7,78.7,0.9,7.62,2.3457142857142856,8.17
2021-01-15,712.52,0.31,615.2,0.3,642.75,0.28,1.1,88.69,547.21,81.48,1.43,17.36,0.0,13.58
2021-01-15,197.69,0.06,186.44,0.05,206.51,0.03,1.14,38.43,359.47,63.89,0.14,6.93,1.332142857142857,7.62
2021-01-15,944.17,0.2,639.42,0.22,608.67,0.14,1.12,108.92,700.21,73.15,0.44,10.19,10.529642857142857,15.89
2021-01-15,396.27,0.02,473.4,0.03,592.69,0.03,0.78,23.46,146.88,67.59,1.56,3.24,2.674285714285714,4.77
2021-01-15,389.94,0.22,564.57,0.23,738.16,0.28,0.78,31.29,879.86,60.19,0.1,7.38,0.0,5.47
2021-01-15,575.04,0.07,409.32,0.06,271.9,0.04,1.26,30.9,209.65,85.19,19.56,2.06,0.8360714285714286,3.83
2021-01-16,944.17,0.21,639.42,0.22,608.67,0.14,1.09,109.49,645.51,73.15,0.46,10.19,10.622499999999999,15.89
2021-01-16,244.45,0.13,241.29,0.12,269.11,0.1,1.07,43.92,437.91,78.7,1.05,7.62,2.2775,8.17
2021-01-16,378.4,0.15,386.46,0.17,477.54,0.12,0.94,45.31,272.07,60.19,0.46,9.75,0.0,6.95
2021-01-16,182.88,0.08,161.54,0.07,171.13,0.05,0.99,17.63,130.05,75.46,0.77,2.9,2.9549999999999996,3.52
2021-01-16,575.04,0.07,409.32,0.06,271.9,0.04,1.25,31.33,211.98,85.19,20.04,2.06,0.8553571428571428,3.83
2021-01-16,712.52,0.31,615.2,0.3,642.75,0.27,1.06,89.16,539.19,81.48,1.44,17.36,0.0,13.58
2021-01-16,577.64,0.14,568.91,0.15,634.92,0.12,1.06,83.32,373.7,71.76,3.12,7.67,0.0,8.99
2021-01-16,197.69,0.06,186.44,0.05,206.51,0.03,1.14,38.34,357.45,63.89,0.15,6.93,1.3892857142857142,7.62
