disag_std_Current,disag_range_Current,disag_maxpair_Current,disag_std_1M,disag_range_1M,disag_maxpair_1M,disag_std_3M,disag_range_3M,disag_maxpair_3M,disag_std_6M,disag_range_6M,disag_maxpair_6M
40.21884282738289,85.79337292589105,85.79337292589105,24.12704195742486,58.931243420883845,58.931243420883845,0.26782979118200967,0.5886603156403819,0.5886603156403819,0.003910215245445288,0.008398491926850035,0.008398491926850035
10.948427945730968,25.15012441481626,25.15012441481626,2.2942126718278324,5.605674563415227,5.605674563415227,0.04340786191474415,0.09369151142780918,0.09369151142780918,0.005123531353322691,0.011657824090849242,0.011657824090849242
1.9980160432922562,4.894111669580199,4.894111669580199,0.12197172698828795,0.296654852848092,0.296654852848092,0.013240801704857454,0.02901747815615789,0.02901747815615789,0.014584588933083188,0.034033795025319696,0.034033795025319696
0.1911512329332791,0.4458226106675319,0.4458226106675319,0.017275969774560203,0.03747063602267007,0.03747063602267007,0.014086691151377652,0.032557178487962274,0.032557178487962274,0.00010496220650219791,0.00023526761521190794,0.00023526761521190794
0.05071631474589009,0.12416466965095593,0.12416466965095593,0.004808366167558368,0.01059213676145937,0.01059213676145937,0.013429348312603227,0.032702429209568125,0.032702429209568125,2.4360784056331217e-05,5.592809672700716e-05,5.592809672700716e-05
0.019386519035135896,0.042534035859985206,0.042534035859985206,0.010145448196006652,0.024313837753902452,0.024313837753902452,0.013509560414463445,0.03291121779943946,0.03291121779943946,4.159724447576145e-05,9.384414710571233e-05,9.384414710571233e-05
0.015564250979869835,0.03786690005386091,0.03786690005386091,0.008614396486859193,0.019965300178238395,0.019965300178238395,0.015780679280160716,0.033601224664514054,0.033601224664514054,0.01870651061769867,0.04026300994086647,0.04026300994086647
0.005677032596119175,0.013824193554741009,0.013824193554741009,0.014623487277069691,0.03580401053340596,0.03580401053340596,0.01578489531482849,0.03360080646015524,0.03360080646015524,0.023510765303351226,0.04989761366372359,0.04989761366372359
0.004006590193824064,0.009378762031240757,0.009378762031240757,0.002464641270122076,0.005254603810478593,0.005254603810478593,0.015714105483962546,0.03359247295230114,0.03359247295230114,0.030586136787358567,0.07456825277155024,0.07456825277155024
0.0034921088181223366,0.007484662252239365,0.007484662252239365,0.0024687165694266527,0.005255209845263606,0.005255209845263606,0.026432460404890147,0.0643179139986754,0.0643179139986754,0.03094499941197279,0.0714509708373827,0.0714509708373827
0.0014906448345854589,0.003176344528592138,0.003176344528592138,0.0026012033977856294,0.005528106543652934,0.005528106543652934,0.011048568860929465,0.024484835203111774,0.024484835203111774,0.0040751742860027276,0.009545272502915033,0.009545272502915033
0.00173742952955778,0.003782975495362414,0.003782975495362414,0.01756887867748987,0.04297661748475072,0.04297661748475072,0.02343327490272359,0.05702823192320243,0.05702823192320243,0.00959808576310012,0.022663036267892407,0.022663036267892407
0.006818488834273435,0.016680180525189277,0.016680180525189277,0.013506398923652163,0.03155192290230112,0.03155192290230112,0.017472332812725807,0.04255460174242708,0.04255460174242708,0.028105833935541287,0.06557182530256259,0.06557182530256259
0.010326577037379731,0.02200273057633121,0.02200273057633121,0.01790761573200848,0.04316385118797488,0.04316385118797488,0.012929016802345964,0.031531839826436106,0.031531839826436106,0.01693631809987851,0.03904376110424327,0.03904376110424327
0.010443447388033027,0.02476471520985931,0.02476471520985931,0.010029419058167847,0.0230639076586956,0.0230639076586956,0.011712091296602245,0.028648214763244598,0.028648214763244598,8.538995212442268e-05,0.00020848352279821154,0.00020848352279821154
0.02348428722034068,0.05270893747691117,0.05270893747691117,0.009041905997958554,0.021132489246982397,0.021132489246982397,0.011529696277837856,0.027047338354478024,0.027047338354478024,3.2812396737691856e-05,7.389984671545374e-05,7.389984671545374e-05
0.00993342806836743,0.024218954888103522,0.024218954888103522,0.006491100706003917,0.014676724614113845,0.014676724614113845,0.007589200651931384,0.016259605742238368,0.016259605742238368,0.0011436267298377543,0.0027559706524130645,0.0027559706524130645
0.005558661563734829,0.011931492100387669,0.011931492100387669,0.008736457942869048,0.021312663396083613,0.021312663396083613,0.00629420391121217,0.013567191806186247,0.013567191806186247,0.00010323407978241255,0.00023448031876128057,0.00023448031876128057
0.002250093832490505,0.004802580368447841,0.004802580368447841,0.0075018166532436065,0.01764116954576709,0.01764116954576709,0.012414485075922794,0.026589642462179888,0.026589642462179888,5.850247531254758e-05,0.00012680045648151867,0.00012680045648151867
0.018325936226333443,0.043012060737363966,0.043012060737363966,0.011385213281546682,0.025387848575204243,0.025387848575204243,0.003423266956447322,0.008311543345114619,0.008311543345114619,1.9891917243696968e-05,4.519623757305308e-05,4.519623757305308e-05
0.0011545515242339529,0.0024873768815975917,0.0024873768815975917,0.008403565954568757,0.017891086892923402,0.017891086892923402,0.004406798549699779,0.009353101481328641,0.009353101481328641,1.9767700977942042e-05,4.495059090023042e-05,4.495059090023042e-05
0.0007177663357364465,0.001552807180628517,0.001552807180628517,0.0671489358268491,0.15233686571033955,0.15233686571033955,0.005160819197699536,0.010952097373103507,0.010952097373103507,2.3038616728189783e-05,5.1034621495623865e-05,5.1034621495623865e-05
0.002789030772281139,0.006325874122886382,0.006325874122886382,0.00852661341876388,0.01812615300551067,0.01812615300551067,0.0044080608574043716,0.009352472674508656,0.009352472674508656,0.0021861561532949252,0.004797774102464923,0.004797774102464923
0.00022950157040952748,0.0004876157269871767,0.0004876157269871767,0.001806784238209658,0.003833660880928554,0.003833660880928554,0.00515996817203331,0.010950523172590126,0.010950523172590126,0.012494365566384667,0.02707244937100627,0.02707244937100627
0.00020049966165516282,0.00042559595559155144,0.00042559595559155144,0.001529510247902949,0.003245487749980638,0.003245487749980638,0.005153973261846889,0.010942508549224279,0.010942508549224279,0.003099305817786802,0.0074867962402630685,0.0074867962402630685
0.0002301405716034071,0.0004887103161539849,0.0004887103161539849,0.0016186324406325641,0.0034362647957637193,0.0034362647957637193,0.006497245479227695,0.015909946422565123,0.015909946422565123,0.03417855077829557,0.08366625077101605,0.08366625077101605
0.0002324690951864434,0.0004939923851095871,0.0004939923851095871,0.0016121514162109945,0.0034334869270889424,0.0034334869270889424,0.008602352597339004,0.018279127430013285,0.018279127430013285,0.011613874944456712,0.028031766273855147,0.028031766273855147
