date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Business_Quarter,Month,Country
1984-09-01,-0.04900695029099209,0.23712917472464257,1.334988428282165,-0.3956940132681418,2.4619603778536745,2.5309553269962906,2.481014266586904,-0.7651458988887658,-0.921809614987115,2.535499991873606,-0.9436803078790931,0.6830374368257098,-0.6595887348917453,0.4333528870829561,1.2504053087494365,Q3,September,USA
1984-10-01,0.07060869811662686,-0.43443512926652117,1.334988428282165,0.5049346917777516,2.243268495112361,2.286178096675664,2.2518073536362126,-0.7596825692991653,-0.9228084213792632,2.402708824616927,-0.945035119704284,0.7428737742666401,-0.6579824122203546,0.28476908404931134,0.8244433349961593,Q4,October,USA
1984-11-01,-0.4078538955138492,0.9086934787158064,-0.18561023323045903,-0.3956940132681418,1.8982316627322056,1.8497225768527716,1.8492649369468623,-0.7569509045043651,-0.9146380051263747,2.185078856057369,-0.9431559281006536,0.6232010993847801,-0.6587855735560499,0.18478893077285274,0.7688830775500803,Q4,November,USA
1984-12-01,0.549071291747103,0.9086934787158064,-0.4028386134465481,3.4319779831769055,1.7432950267182399,1.63635111128465,1.6484381084206796,-0.7542192397095647,-0.9134412371069541,2.1592583513130146,-0.9458118455185978,0.6830374368257098,-0.6579824122203546,0.11069941801434839,0.5096018761350427,Q4,December,USA
1985-01-01,0.549071291747103,-0.26654405326873026,0.4660749074178083,2.081034925608065,1.6429109645558764,1.519953362874834,1.5412050477556452,-0.7514875749147644,-0.914727987684226,2.1149946288941215,-0.935913347340824,0.6830374368257098,-0.6587855735560499,0.0534737916384174,0.7966632062731198,Q1,January,USA
1985-02-01,-0.28823824710623014,-0.43443512926652117,-0.4028386134465481,-0.6208511895296152,1.731427399813711,1.7168363677440586,1.6901398542348591,-0.7432925805303636,-0.907524883928238,2.162946994847922,-0.9231764541753017,0.6232010993847801,-0.6587855735560499,-0.0004332200798605241,0.5836822193964819,Q1,February,USA
1985-03-01,-0.4078538955138492,0.23712917472464257,3.290043850226967,-0.8460083657910886,1.9168479164122805,1.8142183687486297,1.8830285914067197,-0.7364634185433628,-0.9039165833584054,2.292049518569694,-0.9250106158730474,0.6232010993847801,-0.6748488002699572,-0.0446836294177076,0.5836822193964819,Q1,March,USA
1985-04-01,0.07060869811662686,-0.43443512926652117,1.9866735689304322,1.1804062205621717,1.686633800519928,1.5936578101819843,1.6291129091409378,-0.7337317537485626,-0.9093425315968321,2.13343784656866,-0.9233362450970474,0.6830374368257098,-0.6740456389342618,-0.08029487099288368,0.6670226055656003,Q2,April,USA
1985-05-01,-0.4078538955138492,2.419713162695925,-0.6200669936626372,-0.17053683700666847,1.4654562781830398,1.4129060286665753,1.4062720944797977,-0.7310000889537622,-0.9051628417846442,1.9194965215440098,-0.9180260585342774,0.6232010993847801,-0.6756519616056526,-0.11194339763397573,0.4077414041505628,Q2,May,USA
1985-06-01,1.625612127415674,1.4123667067091792,-0.8372953738787263,-0.6208511895296152,1.2469159161377867,1.2095470830407729,1.1943594950812155,-0.7269025917615618,-0.9064495923619165,1.6649801176353742,-0.9122786217415155,0.7428737742666401,-0.6836835749626062,-0.13919768671423044,0.8429634208115194,Q2,June,USA
1985-07-01,0.9079182369699601,-0.602326205264312,1.1177600480660757,0.05462033925480494,1.262741311440619,1.2593578886118044,1.2330734633751719,-0.7241709269667616,-0.9187996984269925,1.720309770658991,-0.9075057264299451,0.7428737742666401,-0.6836835749626062,-0.17247680724153372,0.6114623481195214,Q3,July,USA
1985-08-01,-0.5274695439214682,-0.770217281262103,-0.18561023323045903,2.7565064543924853,1.325940683425021,1.2795847340943916,1.2800572762173679,-0.7214392621719612,-0.9108992298476579,1.7276870577288064,-0.9133012378553238,0.5633647619438498,-0.6836835749626062,-0.20232474761014713,0.46330166159664316,Q3,August,USA
1985-09-01,-0.6470851923290872,0.7408024027180153,-0.6200669936626372,1.8558777493465917,1.3341084558576766,1.2658378848762486,1.25987312511872,-0.7187075973771611,-0.901783996737332,1.742441631868437,-0.9188982697260413,0.5633647619438498,-0.6860930589696923,-0.2234120044695614,0.4355215328736023,Q3,September,USA
1985-10-01,0.4294556433394839,-0.26654405326873026,0.03161814698563015,0.5049346917777516,1.3133348787704502,1.2897860996421315,1.2847383203012768,-0.7132442677875604,-0.9104178231631541,1.6944892659146364,-0.9167369715996784,0.5633647619438498,-0.6925183496552553,-0.22921901329905922,0.09289994528944624,Q4,October,USA
1985-11-01,-0.28823824710623014,-0.602326205264312,2.6383587095786996,-0.17053683700666847,1.2703980377386306,1.319196025545188,1.273523889152887,-0.7064151058005597,-0.9018919758067535,1.524811663308879,-0.9023157264487173,0.50352842450292,-0.7013531243479042,-0.2132724262980018,0.3244010179814443,Q4,November,USA
1985-12-01,-0.5274695439214682,-0.09865297727093927,1.769445188714343,1.4055633968236454,1.20461184158563,1.265857280783435,1.2104608006841204,-0.699585943813559,-0.8774617113501547,1.3330021994936756,-0.890087829179197,0.50352842450292,-0.7021562856835996,-0.17995212036470923,0.6022023052118419,Q4,December,USA
1986-01-01,-0.16862259869861113,1.916039934702552,0.4660749074178083,-0.8460083657910886,1.222814818191072,1.2559071803969701,1.221540097263672,-0.6941226142239584,-0.8644142404617318,1.307181694749321,-0.8882110870925619,0.32401941218013014,-0.7045657696906857,-0.15249195241281915,0.7596230346423996,Q1,January,USA
1986-02-01,1.2667651821928172,1.2444756307113882,-0.18561023323045903,0.05462033925480494,1.1849905732013328,1.252192864170833,1.200452152264112,-0.6968542790187586,-0.8815964098834171,1.1264381615388406,-0.8739924421790578,0.6232010993847801,-0.7069752536977718,-0.14340824257722054,0.7874031633654404,Q1,February,USA
1986-03-01,0.788302588562341,0.23712917472464257,1.334988428282165,-0.6208511895296152,0.991512092913492,1.0572829079601143,0.9950683775088761,-0.7050492734031596,-0.899170003431755,0.7870829563273268,-0.8568984763814188,0.6232010993847801,-0.7085815763691625,-0.15195820269738358,0.7133228201039999,Q1,March,USA
1986-04-01,0.07060869811662686,-0.26654405326873026,-0.8372953738787263,0.7300918680392252,0.7941120059713772,0.8622081747015281,0.8072718237425794,-0.7105126029927601,-0.8963715458825827,0.6100280666517541,-0.8494059304246635,0.5633647619438498,-0.7093847377048579,-0.16873374769348484,0.81518329208848,Q2,April,USA
