iter	Passed	Remaining
785	9204	2506
786	9221	2495
787	9235	2484
788	9247	2472
789	9260	2461
790	9272	2450
791	9286	2438
792	9298	2427
793	9312	2416
794	9325	2404
795	9338	2393
796	9352	2382
797	9363	2370
798	9377	2359
799	9390	2347
800	9403	2336
801	9417	2325
802	9431	2313
803	9447	2303
804	9458	2291
805	9472	2280
806	9487	2269
807	9501	2257
808	9519	2247
809	9535	2236
810	9553	2226
811	9568	2215
812	9581	2203
813	9592	2191
814	9603	2179
815	9617	2168
816	9632	2157
817	9652	2147
818	9664	2135
819	9675	2123
820	9688	2112
821	9705	2101
822	9718	2090
823	9732	2078
824	9744	2066
825	9763	2056
826	9779	2045
827	9792	2034
828	9802	2022
829	9815	2010
830	9828	1998
831	9842	1987
832	9855	1975
833	9868	1964
834	9882	1952
835	9896	1941
836	9911	1930
837	9925	1918
838	9945	1908
839	9960	1897
840	9977	1886
841	10004	1877
842	10022	1866
843	10035	1854
844	10052	1843
845	10072	1833
846	10093	1823
847	10110	1812
848	10127	1801
849	10147	1790
850	10161	1779
851	10174	1767
852	10184	1755
853	10193	1742
854	10204	1730
855	10213	1718
856	10224	1706
857	10238	1694
858	10251	1682
859	10262	1670
860	10274	1658
861	10287	1647
862	10304	1635
863	10318	1624
864	10326	1611
865	10339	1599
866	10353	1588
867	10365	1576
868	10379	1564
869	10393	1553
870	10405	1541
871	10417	1529
872	10428	1517
873	10439	1504
874	10453	1493
875	10466	1481
876	10476	1469
877	10489	1457
878	10501	1445
879	10514	1433
880	10525	1421
881	10536	1409
882	10550	1397
883	10565	1386
884	10582	1375
885	10594	1363
886	10611	1351
887	10630	1340
888	10642	1328
889	10654	1316
890	10671	1305
891	10684	1293
892	10698	1281
893	10724	1271
894	10734	1259
895	10746	1247
896	10764	1236
897	10779	1224
898	10797	1213
899	10810	1201
900	10820	1188
901	10830	1176
902	10843	1164
903	10856	1152
904	10867	1140
905	10879	1128
906	10892	1116
907	10905	1104
908	10916	1092
909	10927	1080
910	10942	1069
911	10955	1057
912	10964	1044
913	10974	1032
914	10984	1020
915	10993	1008
916	11004	996
917	11014	983
918	11025	971
919	11038	959
920	11052	948
921	11067	936
922	11085	924
923	11099	912
924	11120	901
925	11138	890
926	11154	878
927	11168	866
928	11177	854
929	11185	841
930	11193	829
931	11201	817
932	11210	805
933	11218	792
934	11229	780
935	11238	768
936	11250	756
937	11264	744
938	11274	732
939	11284	720
940	11299	708
941	11312	696
942	11321	684
943	11333	672
944	11346	660
945	11357	648
946	11367	636
947	11379	624
948	11387	611
949	11397	599
950	11411	587
951	11424	576
952	11434	563
953	11446	551
954	11456	539
955	11470	527
956	11482	515
957	11495	503
958	11508	492
959	11517	479
960	11525	467
961	11532	455
962	11539	443
963	11547	431
964	11556	419
965	11564	407
966	11576	395
967	11589	383
968	11600	371
969	11611	359
970	11622	347
971	11634	335
972	11643	323
973	11662	311
974	11676	299
975	11691	287
976	11705	275
977	11714	263
978	11725	251
979	11740	239
980	11752	227
981	11766	215
982	11774	203
983	11787	191
984	11801	179
985	11813	167
986	11829	155
987	11839	143
988	11853	131
989	11866	119
990	11876	107
991	11887	95
992	11899	83
993	11909	71
994	11919	59
995	11930	47
996	11941	35
997	11950	23
998	11962	11
999	11973	0
